first_name,last_name,party,vote
กนก,ลิ้มตระกูล,เพื่อไทย,1
กนก,วงษ์ตระหง่าน,ประชาธิปัตย์,0
กมลศักดิ์,ลีวาเมาะ,ประชาชาติ,2
กรณ์,จาติกวณิช,ประชาธิปัตย์,1
กรณิศ,งามสุคนธ์รัตนา,พลังประชารัฐ,0
กรวีร์,ปริศนานันทกุล,ภูมิใจไทย,0
กรุงศรีวิไล,สุทินเผือก,พลังประชารัฐ,0
กฤติดนัย,สันแก้ว,อนาคตใหม่,1
กฤษฎา,ตันเทอดทิตย์,เพื่อไทย,0
กฤษณ์,แก้วอยู่,พลังประชารัฐ,0
กวินนาถ,ตาคีย์,อนาคตใหม่,1
กษิดิ์เดช,ชุติมันต์,พลังประชารัฐ,0
กัญจน์พงศ์,จงสุทธนามณี,อนาคตใหม่,1
กันตวรรณ,ตันเถียร,ประชาธิปัตย์,0
กัลยา,รุ่งวิจิตรชัย,พลังประชารัฐ,0
กัลยา,โสภณพนิช,ประชาธิปัตย์,0
กานต์กนิษฐ์,แห้วสันตติ,พลังประชารัฐ,0
การุณ,โหสกุล,เพื่อไทย,0
กิตติ,สมทรัพย์,เพื่อไทย,0
กิตติกร,โล่ห์สุนทร,เพื่อไทย,1
กิตติชัย,เรืองสวัสดิ์,อนาคตใหม่,1
กิตติ์ธัญญา,วาจาดี,เพื่อไทย,0
กิตติศักดิ์,คณาสวัสดิ์,เพื่อไทย,0
กุลธิดา,รุ่งเรืองเกียรติ,อนาคตใหม่,1
กุลวลี,นพอมรบดี,พลังประชารัฐ,0
กูเฮง,ยาวอหะซัน,ประชาชาติ,2
เกรียงศักดิ์,ฝ้ายสีงาม,เพื่อไทย,0
เกษม,ศุภรานนท์,พลังประชารัฐ,0
เกษม,อุประ,เพื่อไทย,0
เกษมสันต์,มีทิพย์,อนาคตใหม่,1
เกียรติ,สิทธีอมร,ประชาธิปัตย์,0
เกียรติ,เหลืองขจรวิทย์,ภูมิใจไทย,0
เกื้อกูล,ด่านชัยวิจิตร,ภูมิใจไทย,0
โกวิทย์,พวงงาม,พลังท้องถิ่นไท,0
โกศล,ปัทมะ,เพื่อไทย,0
ไกลก้อง,ไวทยการ,อนาคตใหม่,1
ขจิตร,ชัยนิคม,เพื่อไทย,0
ขวัญเลิศ,พานิชมาท,อนาคตใหม่,1
เขตรัฐ,เหล่าธรรมทัศน์,รวมพลังประชาชาติไทย,0
คงกฤษ,ฉัตรมาลีรัตน์,ภูมิใจไทย,0
คฑาเทพ,เตชะเดชเรืองกุล,พลังไทยรักไทย,0
คมเดช,ไชยศิวามงคล,เพื่อไทย,0
ครูมานิตย์,สังข์พุ่ม,เพื่อไทย,0
คารม,พลพรกลาง,อนาคตใหม่,1
คำพอง,เทพาคำ,อนาคตใหม่,-1
คุณากร,ปรีชาชนะชัย,เพื่อไทย,0
จตุพร,เจริญเชื้อ,เพื่อไทย,0
จรัส,คุ้มไข่น้ำ,อนาคตใหม่,1
จรัสฤทธิ์,จันทรสุรินทร์,เพื่อไทย,0
จองชัย,วงศ์ทรายทอง,พลังประชารัฐ,0
จอมขวัญ,กลับบ้านเกาะ,พลังประชารัฐ,0
จักรกฤษณ์,ทองศรี,ภูมิใจไทย,0
จักรพรรดิ,ไชยสาส์น,เพื่อไทย,0
จักรพล,ตั้งสุทธิธรรม,เพื่อไทย,0
จักรพันธ์,พรนิมิตร,พลังประชารัฐ,0
จักรัตน์,พั้วช่วย,พลังประชารัฐ,0
จุฑาทัตต,เหล่าธรรมทัศน์,รวมพลังประชาชาติไทย,0
จาตุรงค์,เพ็งนรพัฒน์,เพื่อไทย,0
จารึก,ศรีอ่อน,อนาคตใหม่,1
จารุวรรณ,ศรัณย์เกตุ,อนาคตใหม่,1
จิตภัสร์,กฤษฎากร,ประชาธิปัตย์,0
จิรทัศ,ไกรเดชา,เพื่อไทย,0
จิรพงษ์,ทรงวัชราภรณ์,เพื่อไทย,0
จิรวัฒน์,ศิริพานิชย์,เพื่อไทย,0
จิรวัฒน์,อรัณยกานนท์,อนาคตใหม่,1
จิรัฏฐ์,ทองสุวรรณ์,อนาคตใหม่,1
จิราพร,สินธุไพร,เพื่อไทย,0
จิรายุ,ห่วงทรัพย์,เพื่อไทย,0
จีรเดช,ศรีวิราช,พลังประชารัฐ,0
จุฑาพัตธน์,เมนะสวัสดิ์,เพื่อไทย,0
จุติ,ไกรฤกษ์,ประชาธิปัตย์,1
จุมพิตา,จันทรขจร,อนาคตใหม่,-1
จุรินทร์,ลักษณวิศิษฏ์,ประชาธิปัตย์,0
จุลพันธ์,โนนศรีชัย,อนาคตใหม่,1
จุลพันธ์,อมรวิวัฒน์,เพื่อไทย,1
เจนวิทย์,ไกรสินธุ์,อนาคตใหม่,1
เจริญ,เรี่ยวแรง,พลังประชารัฐ,0
เจเศรษฐ์,ไทยเศรษฐ์,ภูมิใจไทย,0
ฉลอง,เทอดวีระพงศ์,ภูมิใจไทย,0
ฉลาด,ขามช่วง,เพื่อไทย,0
ชนก,จันทาทอง,เพื่อไทย,-1
ชยุต,ภุมมะกาญจนะ,ภูมิใจไทย,0
ชลน่าน,ศรีแก้ว,เพื่อไทย,0
ชวน,หลีกภัย,ประชาธิปัตย์,2
ชวลิต,เลาหอุดมพันธ์,อนาคตใหม่,1
ชวลิต,วิชยสุทธิ์,เพื่อไทย,0
ชัชวาลล์,คงอุดม,พลังท้องถิ่นไท,0
ชัย,ชิดชอบ,ภูมิใจไทย,-1
ชัยชนะ,เดชเดโช,ประชาธิปัตย์,0
ชัยยันต์,ผลสุวรรณ์,เพื่อไทย,1
ชัยวัฒน์,เป้าเปี่ยมทรัพย์,พลังประชารัฐ,0
ชัยวุฒิ,ธนาคมานุสรณ์,พลังประชารัฐ,0
ชัยวุฒิ,บรรณวัฒน์,ประชาธิปัตย์,0
ชาญวิทย์,วิภูศิริ,พลังประชารัฐ,0
ชาดา,ไทยเศรษฐ์,ภูมิใจไทย,0
ชำนาญ,จันทร์เรือง,อนาคตใหม่,-1
ชินวรณ์,บุณยเกียรติ,ประชาธิปัตย์,0
ชุมพล,จุลใส,ประชาธิปัตย์,0
ชูวิทย์,พิทักษ์พรพัลลภ,เพื่อไทย,-1
ชูศักดิ์,คีรีมาศทอง,พลังประชารัฐ,0
ชูศักดิ์,แอกทอง,เพื่อไทย,0
เชิงชาย,ชาลีรินทร์,พลังประชารัฐ,0
เชิดพงศ์,ราชป้องขันธ์,เพื่อไทย,0
โชติพิพัฒน์,เตชะโสภณมณี,อนาคตใหม่,1
โชติวุฒิ,ธนาคมานุสรณ์,พลังประชารัฐ,0
ไชยวัฒนา,ติณรัตน์,เพื่อไทย,0
ไชยา,พรหมา,เพื่อไทย,0
ซูการ์โน,มะทา,ประชาชาติ,2
ญาณธิชา,บัวเผื่อน,อนาคตใหม่,1
ฐนภัทร,กิตติวงศา,อนาคตใหม่,1
ฐานิสร์,เทียนทอง,พลังประชารัฐ,0
ฐาปกรณ์,กุลเจริญ,พลังประชารัฐ,0
ฐิตินันท์,แสงนาค,อนาคตใหม่,1
ฐิติภัสร์,โชติเดชาชัยนันต์,พลังประชารัฐ,0
ณธีภัสร์,กุลเศรษฐสิทธิ์,อนาคตใหม่,1
ณัฏฐ์ชนน,ศรีก่อเกื้อ,ภูมิใจไทย,0
ณัฏฐพล,จรัสรพีพงษ์,พลังประชารัฐ,0
ณัฏฐพล,ทีปสุวรรณ,พลังประชารัฐ,-1
ณัฐชา,บุญไชยอินสวัสดิ์,อนาคตใหม่,1
ณัฐพงษ์,เรืองปัญญาวุฒิ,อนาคตใหม่,1
ณัฐพงษ์,สุปริยศิลป์,เพื่อไทย,0
ณัฐพล,สืบศักดิ์วงศ์,อนาคตใหม่,1
ณัฐวุฒิ,กองจันทร์ดี,เพื่อไทย,0
ณัฐวุฒิ,บัวประทุม,อนาคตใหม่,1
ณัฐวุฒิ,ประเสริฐสุวรรณ,ชาติไทยพัฒนา,0
ดล,เหตระกูล,ชาติพัฒนา,0
ดะนัย,มะหิพันธ์,เพื่อไทย,0
ดำรงค์,พิเดช,รักษ์ผืนป่าประเทศไทย,0
เดชอิศม์,ขาวทอง,ประชาธิปัตย์,-1
ตรีนุช,เทียนทอง,พลังประชารัฐ,0
ตี๋ใหญ่,พูนศรีธนากูล,เพื่อไทย,0
ไตรเทพ,งามกมล,ภูมิใจไทย,0
ไตรรงค์,ติธรรม,เพื่อไทย,0
ถาวร,เสนเนียม,ประชาธิปัตย์,0
ทรงกลด,ทิพย์รัตน์,พลังชาติไทย,0
ทรงศักดิ์,ทองศรี,ภูมิใจไทย,0
ทวิรัฐ,รัตนเศรษฐ,พลังประชารัฐ,0
ทวีศักดิ์,ทักษิณ,อนาคตใหม่,1
ทศพร,ทองศิริ,อนาคตใหม่,1
ทองแดง,เบ็ญจะปัก,อนาคตใหม่,1
ทัศนาพร,เกษเมธีการุณ,พลังประชารัฐ,0
ทัศนีย์,บูรณุปกรณ์,เพื่อไทย,0
ทัศนียา,รัตนเศรษฐ,พลังประชารัฐ,0
ทายาท,เกียรติชูศักดิ์,เพื่อไทย,1
เทพไท,เสนพงศ์,ประชาธิปัตย์,0
เทวัญ,ลิปตพัลลภ,ชาติพัฒนา,0
เทอดพงษ์,ไชยนันทน์,ประชาธิปัตย์,0
เท่าพิภพ,ลิ้มจิตรกร,อนาคตใหม่,1
เทียบจุฑา,ขาวขำ,เพื่อไทย,0
ธณิกานต์,พรพงษาโรจน์,พลังประชารัฐ,0
ธนกร,ไชยกุล,เพื่อไทย,0
ธนพร,โสมทองแดง,เสรีรวมไทย,1
